,lat,lng,x,y
0,5.125,119.125,0,8
1,5.125,119.375,0,9
2,5.375,119.375,1,9
3,5.375,125.125,1,32
4,5.375,125.375,1,33
5,5.375,125.625,1,34
6,5.625,118.625,2,6
7,5.625,118.875,2,7
8,5.625,119.125,2,8
9,5.625,119.375,2,9
10,5.625,125.125,2,32
11,5.625,125.625,2,34
12,5.875,118.125,3,4
13,5.875,118.375,3,5
14,5.875,118.625,3,6
15,5.875,124.375,3,29
16,5.875,124.625,3,30
17,5.875,124.875,3,31
18,5.875,125.125,3,32
19,5.875,125.625,3,34
20,5.875,125.875,3,35
21,6.125,117.625,4,2
22,6.125,117.875,4,3
23,6.125,118.125,4,4
24,6.125,124.125,4,28
25,6.125,124.375,4,29
26,6.125,125.875,4,35
27,6.375,117.875,5,3
28,6.375,123.875,5,27
29,6.375,124.125,5,28
30,6.375,125.625,5,34
31,6.375,125.875,5,35
32,6.625,117.625,6,2
33,6.625,117.875,6,3
34,6.625,123.875,6,27
35,6.625,125.375,6,33
36,6.625,125.625,6,34
37,6.875,117.375,7,1
38,6.875,117.625,7,2
39,6.875,121.875,7,19
40,6.875,122.125,7,20
41,6.875,122.375,7,21
42,6.875,123.875,7,27
43,6.875,125.625,7,34
44,6.875,125.875,7,35
45,6.875,126.125,7,36
46,6.875,126.375,7,37
47,6.875,126.625,7,38
48,7.125,117.125,8,0
49,7.125,117.375,8,1
50,7.125,121.875,8,19
51,7.125,122.375,8,21
52,7.125,123.875,8,27
53,7.125,124.125,8,28
54,7.125,125.875,8,35
55,7.125,126.625,8,38
56,7.375,121.875,9,19
57,7.375,122.375,9,21
58,7.375,122.625,9,22
59,7.375,122.875,9,23
60,7.375,123.125,9,24
61,7.375,123.375,9,25
62,7.375,123.625,9,26
63,7.375,124.125,9,28
64,7.375,126.625,9,38
65,7.625,121.875,10,19
66,7.625,122.125,10,20
67,7.625,122.625,10,22
68,7.625,123.625,10,26
69,7.625,123.875,10,27
70,7.625,124.125,10,28
71,7.625,126.625,10,38
72,7.875,122.125,11,20
73,7.875,126.625,11,38
74,8.125,122.125,12,20
75,8.125,122.375,12,21
76,8.125,122.625,12,22
77,8.125,122.875,12,23
78,8.125,126.625,12,38
79,8.375,122.875,13,23
80,8.375,123.875,13,27
81,8.375,124.125,13,28
82,8.375,126.375,13,37
83,8.375,126.625,13,38
84,8.625,117.375,14,1
85,8.625,117.625,14,2
86,8.625,117.875,14,3
87,8.625,118.125,14,4
88,8.625,122.875,14,23
89,8.625,123.125,14,24
90,8.625,123.375,14,25
91,8.625,123.625,14,26
92,8.625,123.875,14,27
93,8.625,124.125,14,28
94,8.625,124.375,14,29
95,8.625,124.625,14,30
96,8.625,126.375,14,37
97,8.875,117.375,15,1
98,8.875,118.125,15,4
99,8.875,122.875,15,23
100,8.875,123.125,15,24
101,8.875,123.375,15,25
102,8.875,124.625,15,30
103,8.875,125.125,15,32
104,8.875,126.375,15,37
105,9.125,117.375,16,1
106,9.125,117.625,16,2
107,9.125,118.125,16,4
108,9.125,122.875,16,23
109,9.125,123.375,16,25
110,9.125,124.625,16,30
111,9.125,124.875,16,31
112,9.125,125.125,16,32
113,9.125,125.375,16,33
114,9.125,126.375,16,37
115,9.375,117.625,17,2
116,9.375,117.875,17,3
117,9.375,118.125,17,4
118,9.375,122.375,17,21
119,9.375,122.625,17,22
120,9.375,122.875,17,23
121,9.375,123.375,17,25
122,9.375,125.375,17,33
123,9.375,126.125,17,36
124,9.375,126.375,17,37
125,9.625,122.375,18,21
126,9.625,123.375,18,25
127,9.625,123.875,18,27
128,9.625,124.125,18,28
129,9.625,124.375,18,29
130,9.625,124.625,18,30
131,9.625,125.375,18,33
132,9.625,125.875,18,35
133,9.625,126.125,18,36
134,9.875,118.625,19,6
135,9.875,118.875,19,7
136,9.875,119.125,19,8
137,9.875,119.375,19,9
138,9.875,122.375,19,21
139,9.875,123.375,19,25
140,9.875,123.875,19,27
141,9.875,124.625,19,30
142,9.875,124.875,19,31
143,9.875,125.125,19,32
144,9.875,125.375,19,33
145,9.875,125.875,19,35
146,10.125,118.625,20,6
