,lat,lng
0,5.125,117.125
1,5.125,117.375
2,5.125,117.625
3,5.125,117.875
4,5.125,118.125
5,5.125,118.375
6,5.125,118.625
7,5.125,118.875
8,5.125,119.125
9,5.125,119.375
10,5.125,119.625
11,5.125,119.875
12,5.125,120.125
13,5.125,120.375
14,5.125,120.625
15,5.125,120.875
16,5.125,121.125
17,5.125,121.375
18,5.125,121.625
19,5.125,121.875
20,5.125,122.125
21,5.125,122.375
22,5.125,122.625
23,5.125,122.875
24,5.125,123.125
25,5.125,123.375
26,5.125,123.625
27,5.125,123.875
28,5.125,124.125
29,5.125,124.375
30,5.125,124.625
31,5.125,124.875
32,5.125,125.125
33,5.125,125.375
34,5.125,125.625
35,5.125,125.875
36,5.125,126.125
37,5.125,126.375
38,5.125,126.625
39,5.125,126.875
40,5.375,117.125
41,5.375,117.375
42,5.375,117.625
43,5.375,117.875
44,5.375,118.125
45,5.375,118.375
46,5.375,118.625
47,5.375,118.875
48,5.375,119.125
49,5.375,119.375
50,5.375,119.625
51,5.375,119.875
52,5.375,120.125
53,5.375,120.375
54,5.375,120.625
55,5.375,120.875
56,5.375,121.125
57,5.375,121.375
58,5.375,121.625
59,5.375,121.875
60,5.375,122.125
61,5.375,122.375
62,5.375,122.625
63,5.375,122.875
64,5.375,123.125
65,5.375,123.375
66,5.375,123.625
67,5.375,123.875
68,5.375,124.125
69,5.375,124.375
70,5.375,124.625
71,5.375,124.875
72,5.375,125.125
73,5.375,125.375
74,5.375,125.625
75,5.375,125.875
76,5.375,126.125
77,5.375,126.375
78,5.375,126.625
79,5.375,126.875
80,5.625,117.125
81,5.625,117.375
82,5.625,117.625
83,5.625,117.875
84,5.625,118.125
85,5.625,118.375
86,5.625,118.625
87,5.625,118.875
88,5.625,119.125
89,5.625,119.375
90,5.625,119.625
91,5.625,119.875
92,5.625,120.125
93,5.625,120.375
94,5.625,120.625
95,5.625,120.875
96,5.625,121.125
97,5.625,121.375
98,5.625,121.625
99,5.625,121.875
100,5.625,122.125
101,5.625,122.375
102,5.625,122.625
103,5.625,122.875
104,5.625,123.125
105,5.625,123.375
106,5.625,123.625
